,Star_name,Distance,Mass,Radius,Gravity
0,Sun,1.5813e-05,1.0,1.0,274.2691614595739
1,Sirius,8.6,2.1,1.71,196.971799550325
2,Canopus,310.0,15.0,71.0,0.8161153386021839
3,Alpha Centauri,4.4,1.1,1.2,209.51116500384123
4,Arcturus,37.0,1.1,26.0,0.44629597278924754
5,Vega,25.0,2.2,2.7,82.76984296448046
6,Capella,43.0,2.6,12.0,4.952082081908975
7,Rigel,860.0,23.0,78.9,1.01332978543217
8,Procyon,11.4,1.5,1.9,113.9622554541166
9,Betelgeuse,640.0,20.0,950.0,0.006077986957552885
10,Achernar,144.0,6.7,9.3,21.2464259657665
11,Hadar,390.0,10.5,8.6,38.937617567949246
12,Altair,17.0,1.8,1.8,152.37175636642996
13,Acrux,320.0,18.0,8.9,62.326030883377484
14,Aldebaran,65.0,1.5,44.0,0.21250193294905007
15,Antares,600.0,12.0,680.0,0.0071177118025840995
16,Spica,260.0,11.43,7.47,56.18003500809
17,Pollux,34.0,1.9,8.8,6.729227876719916
18,Fomalhaut,25.0,1.9,1.8,160.8368539423427
19,Deneb,2600.0,19.0,203.0,0.12645572733460908
20,Mimosa,350.0,16.0,8.4,62.19255361895101
21,Regulus,77.0,3.8,3.1,108.45190567600218
22,Adhara,430.0,12.5,14.0,17.491655705329972
23,Shaula,700.0,14.5,8.8,51.354633796020416
24,Castor,52.0,2.8,2.4,133.3252868206262
25,Gacrux,88.0,1.5,84.0,0.058305519017766566
26,Bellatrix,240.0,8.6,5.8,70.11637302474244
27,Elnath,130.0,5.0,4.2,77.74069202368877
28,Miaplacidus,110.0,3.5,6.8,20.759992757536956
29,Alnilam,2000.0,32.0,42.0,4.975404289516081
30,Gamma Velorum,1100.0,9.0,6.0,68.56729036489348
31,Alnair,101.0,4.0,3.4,94.90282403445465
32,Alioth,81.0,2.9,4.2,45.08960137373948
33,Alnitak,1050.0,33.0,20.0,22.62720582041485
34,Dubhe,120.0,4.25,30.0,1.2951599291146547
35,Mirfak,590.0,8.5,68.0,0.5041712526830403
36,Wezen,1600.0,17.0,200.0,0.11656439362031894
37,Sargas,270.0,5.7,26.0,2.3126245862715553
38,Kaus Australis,140.0,3.5,6.8,20.759992757536956
39,Avior,630.0,9.0,130.0,0.14606050018557193
40,Alkaid,104.0,6.1,3.4,144.72680665254333
41,Menkalinan,81.0,2.39,2.77,85.43097080483021
42,Atria,390.0,7.0,92.0,0.22682941046987445
43,Alhena,109.0,2.8,3.3,70.51915997124031
44,Peacock,180.0,5.9,4.8,70.23385645015132
45,Alsephina[2],80.0,2.4,2.9,78.26943965552645
46,Mirzam,500.0,13.5,10.0,37.02633679704249
47,Polaris,430.0,5.4,39.0,0.973736667903813
48,Alphard,180.0,3.0,50.0,0.32912299375148873
49,Scheat,196.0,2.1,95.0,0.0638188630543053
50,Almaaz,653.0,15.0,140.0,0.20989986846395964
51,Rasalgethi,360.0,2.8,280.0,0.009795327194984781
52,Tau Ceti,11.9,0.7829999999999999,0.893,269.2996711047934
53,Delta Pavonis,19.92,0.991,1.22,182.61269753187165
54,Ran,10.48,0.82,0.74,410.70254272616984
55,V382 Carinae,8900.0,20.0,485.0,0.023319728894426524
56,Eta Carinae,7500.0,100.0,881.0,0.035336632665075154
57,Delta Cephei,887.0,4.5,44.5,0.6232603088337749
58,Mu Cephei,6000.0,19.2,972.0,0.005573726798954914
59,Titawin,44.25,1.27,1.48,159.02202111653529
60,Rho Cassiopeiae,8154.0,22.0,800.0,0.009428002425172855
61,P Cygni,5545.0,30.0,76.0,1.4245281931764575
62,VV Cephei,4900.0,18.2,750.0,0.008874131090780881
63,61 Cygni,11.41,0.7,0.665,434.1419255394917
64,R Doradus,178.0,0.8,298.0,0.00247078204999391
65,Polaris Australis,281.0,1.59,3.74,31.176754176608036
66,R Coronae Borealis,4566.0,0.85,85.0,0.032266960171714584
67,54 Piscium,36.1,0.76,0.94,235.9037604224493
68,Mira,300.0,1.2,370.0,0.00240411244522636
69,RW Cephei,14000.0,13.9,1158.0,0.0028429856016179986
70,Lacaille 8760,12.87,0.6,0.51,632.685493563031
71,V838 Monocerotis,19896.0,0.5,450.0,0.0006772078060730221
72,HD 140283,190.0,2.0,1.4,279.8664912852796
73,II Pegasi,130.0,0.8,3.4,18.98056480689093
74,VY Canis Majoris,3900.0,17.0,1420.0,0.0023123267927061875
75,Pistol Star,25000.0,100.0,320.0,0.2678409779878652
76,S Doradus,169000.0,24.0,380.0,0.04558490218164664
77,UY Scuti,5100.0,7.0,755.0,0.0033680700499399458
78,Barnard's Star,5.98,0.14,0.2,959.9420651085089
79,Luhman 16,6.52,0.04,0.02,27426.9161459574
80,Proxima Centauri,4.25,0.12,0.15,1462.7688611177277
81,KIC 8462852,1470.0,1.43,1.58,157.10819615734286
82,R136a1,163000.0,290.0,32.0,77.67388361648091
83,Melnick 42,163000.0,189.0,21.1,116.4324060911917
84,WR 102,18134.0,19.0,0.39,34261.104981800825
85,VFTS 352,164000.0,57.48,14.47,75.29335961731135
86,YBP 1194,2772.0,1.01,0.99,282.6363157577489
87,Gliese 1214,47.5,0.16,0.21,995.0808579032163
88,NML Cygni,5251.0,50.0,1900.0,0.0037987418484705534
89,VB 10,18.72,0.075,0.1,2057.0187109468043
90,WOH G64,163000.0,20.0,1600.0,0.0021427278239029217
91,TRAPPIST-1,39.6,0.08900000000000001,0.12,1695.1357895765336
92,2MASS J0523-1403,40.3,0.07,0.086,2595.841171196618
93,WISE 0855−0714,7.27,0.003,0.086,111.25033590842646
94,Icarus,14400000000.0,33.0,0.2,226272.05820414852
95,SDSS J000013.54+255418.6 [de],46.1,0.04582022400000001,0.10173537,1214.200056936461
96,2MASS J00040288-6410358,192.0,0.018137172,0.16750369,177.29553270309606
97,2MASS J00242463-0158201,37.7,0.075412452,0.11201167,1648.5172507306947
98,2MASS J00274197+0503417,236.0,0.029592227999999998,0.14797872,370.64326282297077
99,2MASSW J0030300-145033,87.2,0.051547752,0.10070774,1393.9943359838123
100,2MASS J00332386-1521309 [de],131.0,0.027683052000000003,0.14695109,351.5971318717637
101,2MASS J00345157+0523050,31.0,0.040092696000000004,0.09659722,1178.4549471797168
102,2MASS 0036+1821,28.6,0.040092696000000004,0.09659722,1178.4549471797168
103,2MASSW J0045214+163445,57.0,0.021955524,0.16647606,217.2787267524544
104,WISEP J004701.06+680352.1 [fr],40.0,0.011455056000000002,0.1335919,176.04104671648304
105,2MASS J00501994-3322402 [de],34.0,0.03818352,0.09659722,1122.3380449330632
106,2MASS J00584253-0651239 [de],96.0,0.027683052000000003,0.14695109,351.5971318717637
107,2MASSI J0103320+193536,70.0,0.049638576,0.10070774,1342.3649161325598
108,SDSSp J010752.33+004156.1 [de],51.0,0.049638576,0.10070774,1342.3649161325598
109,2MASSI J0117474-340325 [de],163.0,0.01909176,0.16647606,188.93802326300383
110,2MASS J01415823-4633574 [de],130.0,0.01909176,0.16544843,191.292368446984
111,SDSS J015141.69+124429.6,70.0,0.04486563599999999,0.09968011,1238.4366334263516
112,SDSS J020742.48+000056.2 [de],111.0,0.04486563599999999,0.09968011,1238.4366334263516
113,2MASS J02103857-3015313,101.0,0.01431882,0.15722739,158.86484308965376
114,2MASS J02340093-6442068,155.0,0.01909176,0.16647606,188.93802326300383
115,2MASS J02411151-0326587 [de],152.0,0.025773876,0.14489583,336.7014134799189
116,2MASS J02431371−2453298,35.0,0.031501404,0.10173537,834.7625391438166
117,LP 771-21,53.0,0.074457864,0.11098404,1657.9311541328584
118,Teegarden's star,12.578,0.07636704,0.13050901,1229.7078510792417
119,2MASS J02535980+3206373,184.0,0.06204822,0.1952497,446.40140770557866
120,WISE J0254+0223,24.0,0.06204822,0.1952497,446.40140770557866
121,DEN 0255-4700,16.2,0.07636704,0.09968011,2107.9772483852794
122,2MASS J03185403-3421292 [de],45.0,0.046774812,0.09968011,1291.1360646359838
123,2MASS J03205965+1854233,47.0,0.084003744,0.11817745,1649.7053854867902
124,2MASS J03231002-4631237,192.0,0.021955524,0.17058658,206.93362261908166
125,SDSS J032553.17+042540.1,59.0,0.04295646,0.09762485,1236.1885136462176
126,2MASS J03264225-2102057 [de],80.0,0.017182584,0.1335919,264.0615700747245
127,2MASS J03284265+2302051 [de],98.0,0.051547752,0.10070774,1393.9943359838123
128,2MASS J03341218-4953322,27.0,0.06968492400000001,0.10687352,1673.3068242582378
129,LP 944-20,20.9,0.06968492400000001,0.14695109,885.0548491944395
130,2MASP J0345432+254023,88.0,0.070639512,0.10790115,1664.073567827919
131,Teide 1,380.0,0.05250234,0.38844414,95.43298113794582
132,2MASS J03510004-0052452,48.0,0.097367976,0.13050901,1567.8775101260333
133,2MASS J03552337+1133437,29.8,0.01909176,0.13564716,284.5781383444831
134,2MASS J04151954−0935066,18.6,0.02863764,0.09762485,824.1256757641451
135,2MASS J04285096-2253227 [de],85.0,0.07636704,0.11201167,1669.384557701969
136,2MASS J04351612-1606574,34.0,0.09545880000000001,0.12948138,1561.6306004391138
137,2MASS J04362788-4114465,142.0,0.037228932,0.20244311,249.14464404913377
138,2MASS J04390101-2353083 [de],29.5,0.04582022400000001,0.09968011,1264.786349031168
139,2MASS J04433764+0002040,82.0,0.021000936,0.18291814,172.14803783504922
140,2MASS J04455387-3048204 [de],42.0,0.061093632,0.102763,1586.7166344045677
141,2MASS J04510093-3402150 [de],69.0,0.000992772,7.398936,0.004973795867202517
142,2MASS J05002100+0330501 [de],44.0,0.061093632,0.102763,1586.7166344045677
143,2MASS J05012406-0010452 [de],64.0,0.020046348000000002,0.14181294,273.3886765721481
144,2MASS J05160945-0445499 [de],73.0,0.04486563599999999,0.09968011,1238.4366334263516
145,2MASS J0523−1403,40.0,0.064911984,0.10379063,1652.6678012497337
146,SDSS J053951.99-005902.0,41.62,0.058229868,0.10379063,1482.5402334740254
147,LSR 0602+3910 [de],34.6,0.026728464,0.14489583,349.1718362013974
148,2MASS J06085283-2753583,102.0,0.036274344,0.15517213,413.1893345369554
149,2MASS J06244595-4521548 [de],39.0,0.053456928,0.10173537,1416.5667330925376
150,2MASS J06411840-4322329 [de],65.0,0.063957396,0.10379063,1628.363862996061
151,DENIS-P J0652197-253450 [de],51.0,0.07159410000000001,0.10790115,1686.5610484742424
152,2MASS J07075327-4900503,60.0,0.068730336,0.10584589,1682.5866846122526
153,UGPS J072227.51-054031.2,13.4,0.024819288,0.10070774,671.1824580662799
154,2MASSI J0727182+171001 [de],29.6,0.039138108,0.09659722,1150.3964960563899
155,2MASS J07290002-3954043 [de],25.8,0.035319756,0.09659722,1038.1626915630836
156,SDSS J074201.41+205520.5 [de],49.0,0.041047283999999996,0.09659722,1206.513398303043
157,DENIS-P J0751164-253043 [de],55.0,0.067775748,0.10584589,1659.2174251037488
158,2MASS J07522390+1612157,60.0,0.001918722,6.987884,0.010776994467105179
159,DENIS J081730.0-615520,16.1,0.042001872,0.09659722,1234.5718494263697
160,2MASS J08251968+2115521 [de],35.0,0.049638576,0.10070774,1342.3649161325598
161,SDSSp J083008.12+482847.4 [de],43.0,0.04582022400000001,0.10173537,1214.200056936461
162,LHS 2021,55.0,0.084003744,0.11817745,1649.7053854867902
163,SDSS J083048.80+012831.1 [de],77.0,0.043911048,0.09865248,1237.4702484573381
164,2MASSI J0835425-081923 [de],23.53,0.059184455999999996,0.102763,1537.131739579425
165,2MASSI J0847287-153237 [de],43.0,0.061093632,0.102763,1586.7166344045677
166,2MASS J08533619-0329321,27.6,0.07350327599999999,0.10995641,1667.410647888894
167,2MASSI J0859254-194926 [de],50.0,0.047729400000000005,0.10070774,1290.7354962813079
168,2MASSI J0937347+293142,20.0,0.040092696000000004,0.09659722,1178.4549471797168
169,2MASS 0939−2448,17.4,0.030546816,0.09762485,879.0673874817548
170,2MASS J09490860-1545485 [de],59.0,0.046774812,0.09865248,1318.174829878469
171,2MASS J10073369-4555147,46.0,0.042001872,0.09659722,1234.5718494263697
172,2MASSI J1010148-040649 [de],55.0,0.048683988,0.10070774,1316.5502062069338
173,2MASS J10224821+5825453 [de],60.0,0.025773876,0.14489583,336.7014134799189
174,2MASSW J1036530-344138 [de],53.0,0.046774812,0.09968011,1291.1360646359838
175,2MASS J1047538+212423 [de],34.4,0.040092696000000004,0.09659722,1178.4549471797168
176,DEN 1048-3956,13.15,0.07350327599999999,0.10995641,1667.410647888894
177,Luhman 16B,6.516,0.041047283999999996,0.10481826,1024.6782379282668
178,Luhman 16A,6.516,0.03818352,0.10379063,972.157530146902
179,DENIS-P J1058.7−1548,49.0,0.061093632,0.102763,1586.7166344045677
180,TWA 28,180.0,0.034365168,0.24560357,156.25218516002334
181,Cha 110913-773444,163.0,0.007636704,0.1849734,61.21591953721324
182,SDSS J111010.01+011613.1,63.0,0.008591292,0.12742612,145.11708292998327
183,2MASS J11145133−2618235,18.2,0.031501404,0.09865248,887.7503956324381
184,TWA 26,137.0,0.02863764,0.2260786,153.6721947060209
185,2MASS J11544223-3400390 [de],129.0,0.035319756,0.1541445,407.6980241178403
186,2MASSW J1155395-372735 [de],31.0,0.061093632,0.102763,1586.7166344045677
187,2MASS J12074836-3900043,217.0,0.016227996,0.17572473,144.1372066665686
188,2MASSI J1217110-031113 [de],36.0,0.040092696000000004,0.09659722,1178.4549471797168
189,2M 1237+6526,45.6,0.039138108,0.09659722,1150.3964960563899
190,TWA 29,262.0,0.001909176,2.569075,0.07933583172022834
191,SDSSp J125453.90-012247.4 [de],38.0,0.04486563599999999,0.10070774,1213.291366504429
192,Kelu-1A,61.0,0.060139044,0.10070774,1626.3267253144477
193,Kelu-1B,61.0,0.055366104000000006,0.10070774,1497.253175686317
194,2MASS J13204427+0409045,101.0,0.063957396,0.10379063,1628.363862996061
195,SDSSp J132629.82-003831.5 [de],65.0,0.048683988,0.09968011,1343.8354958456157
196,SDSSp J134646.45-003150.4 [de],48.0,0.042001872,0.09659722,1234.5718494263697
197,2MASS J13595510-4034582,51.0,0.060139044,0.102763,1561.9241869919963
198,ULAS J141623.94+134836.3,29.7,0.030546816,0.09865248,860.8488684920613
199,SDSS J141659.78+500626.4 [de],149.0,0.056320692,0.10173537,1492.4542366510664
200,DENIS-P J142527.97-365023.4 [de],38.0,0.020046348000000002,0.13564716,298.8070452617073
201,LHS 2924,38.5,0.072548688,0.10892878,1676.9544351685863
202,2MASS J14392837+1929150,47.0,0.068730336,0.10584589,1682.5866846122526
203,LSPM J1440+1339,72.0,0.087822096,0.12228797,1610.6949805497954
204,2MASS J14482563+1031590 [de],47.0,0.056320692,0.10173537,1492.4542366510664
205,CFBDSIR 1458+10A,104.0,0.010595927,0.1541445,122.30940954396388
206,CFBDSIR 1458+10B,104.0,0.008591292,0.1335919,132.03078503736225
207,TVLM 513-46546,35.1,0.07159410000000001,0.10790115,1686.5610484742424
208,2MASS 1503+2525,20.7,0.042001872,0.09659722,1234.5718494263697
209,CFBDS J150411+102717,71.0,0.042001872,0.09659722,1234.5718494263697
210,2MASSW J1506544+132106 [de],46.0,0.065866572,0.10481826,1644.2511259779164
211,2MASS 1507−1627,23.9,0.05727528,0.10173537,1517.750071170576
212,TVLM 868-110639,53.0,0.075412452,0.11098404,1679.1866817499465
213,2MASSW J1515008+484742 [de],34.0,0.05441151599999999,0.10173537,1441.862567612047
214,2MASSI J1526140+204341 [de],67.0,0.051547752,0.10070774,1393.9943359838123
215,DENIS-P J153941.96-052042.4 [de],51.0,0.060139044,0.102763,1561.9241869919963
216,2MASS J15462718-3325111 [de],37.0,0.042001872,0.09659722,1234.5718494263697
217,2MASSW J1552591+294849 [de],68.0,0.02863764,0.14695109,363.7211709018244
218,2MASSW J1555157-095605 [de],44.0,0.067775748,0.10584589,1659.2174251037488
219,2MASS J16150413+1340079 [de],48.0,0.040092696000000004,0.09659722,1178.4549471797168
220,SDSSp J162414.37+002915.6 [de],36.0,0.041047283999999996,0.09659722,1206.513398303043
221,2MASS J16262034+3925190 [de],110.0,0.067775748,0.10584589,1659.2174251037488
222,2MASSW J1632291+190441 [de],50.0,0.046774812,0.09968011,1291.1360646359838
223,WISEPA J164715.59+563208.2,28.0,0.039138108,0.09659722,1150.3964960563899
224,LSPM J1658+7027 [de],60.0,0.06968492400000001,0.10687352,1673.3068242582378
225,2MASSI J1726000+153819,114.0,0.022910112000000003,0.1438682,303.58098872536374
226,SDSSp J175032.96+175903.9,90.0,0.04486563599999999,0.09968011,1238.4366334263516
227,2MASS J18283572-4849046,39.0,0.04295646,0.09762485,1236.1885136462176
228,LSR J1835+3259,18.5,0.07350327599999999,0.10995641,1667.410647888894
229,2MASSW J1841086+311727,138.0,0.063957396,0.10379063,1628.363862996061
230,2MASS J18432213+4040209,46.0,0.09164044800000001,0.12537086,1599.082875306941
231,2MASS J20004841-7523070,105.0,0.023864700000000003,0.19319444,175.3653195207912
232,SDSS J204749.61-071818.3,65.0,0.043911048,0.09865248,1237.4702484573381
233,2MASSI J2057540-025230,47.0,0.06682116,0.10481826,1668.0808524413649
234,2MASSI J2104149-103736,62.0,0.065866572,0.10481826,1644.2511259779164
235,PSO J318.5−22,80.0,0.006204822,0.15722739,68.84143200551662
236,HB 2124-4228,113.0,0.08973127199999999,0.12434323,1591.756066376414
237,2MASS J21392676+0220226,32.1,0.043911048,0.09865248,1237.4702484573381
238,2MASS J21481628+4003593,26.3,0.05250234,0.10173537,1391.270898573028
239,2MASSW J2206450-421721,93.0,0.021000936,0.13667479,308.3463412722992
240,2MASSW J2208136+292121,154.0,0.025773876,0.14489583,336.7014134799189
241,2MASSW J2224438-015852,38.0,0.058229868,0.10173537,1543.0459056900854
242,2MASS J22282889-4310262,35.0,0.040092696000000004,0.09659722,1178.4549471797168
243,2MASS J22373255+3922398,64.0,0.06968492400000001,0.10687352,1673.3068242582378
244,2MASSW J2244316+204343,56.0,0.011455056000000002,0.13256427,178.78094402431125
245,2MASS J23224684-3133231,56.0,0.022910112000000003,0.14284057,307.96477299400283
246,2MASS J23225299-6151275,148.0,0.016227996,0.16339317,166.71476840857292
247,2MASS J23515044-2537367,67.0,0.084003744,0.11920508,1621.3847891693522
248,2MASSI J2356547-155310,74.0,0.07636704,0.11201167,1669.384557701969
249,WISE 0410+1502,20.0,0.005727528000000001,0.12023271,108.66731278795253
250,WISE 0458+6434A,35.9,0.01431882,0.4316046,21.082013105928027
251,WISE 0458+6434B,35.9,0.00954588,0.3904994,17.169284911753024
252,WISE 1405+5534,25.3,0.02863764,0.08837618,2.4471070969610065e-10
